"educm","heightm","BMIm","healthm"
2,186,28.905075,3
2,176,27.440599,3
3,187,23.163374,3
1,184,29.241493,2
1,174,23.781214,4
1,186,21.967857,3
2,183,25.082863,3
3,187,25.165146,3
2,183,23.589836,4
2,186,21.389755,4
1,196,22.126198,3
2,184,30.422968,3
3,189,20.436157,4
2,184,23.334122,3
2,187,24.307243,2
2,185,24.251278,3
2,173,19.379198,3
1,183,22.395414,4
2,187,25.165146,3
1,184,17.722116,3
2,189,24.635368,4
3,187,20.589664,3
2,189,19.316368,4
2,178,17.674536,4
2,183,24.187046,3
2,182,24.151672,3
2,190,26.869806,4
1,174,28.075043,3
2,168,31.887754,3
2,186,22.835011,4
2,178,21.14632,3
1,173,26.729927,4
3,182,24.151672,4
3,189,20.15621,4
2,179,22.471209,4
2,183,25.97868,3
2,187,24.307243,3
2,189,24.635368,4
2,187,22.877405,3
2,172,27.717686,3
1,175,27.102041,3
2,184,24.220226,4
2,190,21.329639,4
2,193,24.69865,4
2,186,20.522604,3
2,187,24.307243,4
2,178,19.883854,3
2,190,26.31579,1
2,188,28.293344,2
3,189,24.355421,4
2,172,24.675501,4
2,183,20.902386,4
1,184,25.106333,3
2,173,20.047445,3
3,182,22.038401,3
2,180,26.851852,3
3,183,21.499598,3
2,183,23.888441,4
2,174,28.075043,3
2,185,22.790358,3
1,175,22.857143,3
1,176,26.794937,4
3,182,21.132713,3
3,183,25.082863,4
3,178,19.568235,3
3,185,19.868517,4
2,172,20.281233,2
3,185,25.127831,3
2,180,23.765432,4
2,183,22.395414,4
2,184,19.198959,2
2,178,21.777554,3
3,181,24.419279,4
3,178,22.09317,4
3,186,26.014568,4
3,187,23.449341,3
2,186,24.280264,4
2,170,25.259516,3
3,191,19.18807,3
2,176,22.920971,3
2,197,21.386791,3
2,185,22.498175,2
2,178,25.249338,4
2,190,21.606647,4
3,183,28.367523,3
2,179,20.910707,3
1,190,26.03878,4
1,190,19.944599,3
1,181,26.555965,3
2,183,22.096807,2
3,178,22.724403,4
2,176,21.629648,4
2,174,23.781214,3
2,190,22.99169,3
2,178,21.777554,3
1,186,30.061279,3
1,170,22.83737,4
2,185,21.913805,4
2,175,23.510204,3
2,168,32.242062,2
2,186,26.014568,3
2,183,25.680075,3
2,196,26.551437,4
1,172,26.365602,3
3,180,30.864197,1
3,183,25.381468,4
2,186,25.147415,4
1,180,22.222221,3
3,184,27.76465,3
3,180,27.469135,3
3,187,22.877405,4
2,180,23.456791,3
2,181,25.335003,3
2,186,24.280264,3
2,182,23.245985,3
2,171,22.571047,3
2,184,32.490547,4
3,180,37.65432,2
2,174,31.377989,3
2,180,24.074074,3
2,179,28.713211,3
2,184,25.106333,0
3,191,23.025684,3
3,194,19.396322,4
2,176,18.724174,3
2,177,26.493025,3
2,184,25.106333,4
2,187,27.16692,3
2,175,26.12245,2
3,176,22.275311,4
1,182,23.849777,3
2,180,23.765432,3
2,178,24.302486,3
1,170,26.98962,3
2,172,27.041645,4
3,176,22.598141,4
2,180,29.320988,4
2,176,22.920971,3
2,176,25.180784,4
1,186,22.545959,4
2,179,24.96801,3
3,179,26.21641,3
3,187,22.305471,4
2,175,26.12245,3
2,182,24.755465,3
3,176,22.275311,3
3,178,22.408787,4
2,192,23.60026,2
1,195,21.827745,4
3,187,24.307243,4
2,180,27.777779,3
2,174,26.423571,3
2,186,28.326975,4
2,196,26.291128,3
2,186,19.655451,2
3,188,20.937075,4
2,186,21.678806,3
2,179,21.534908,4
1,172,18.929152,3
2,172,24.675501,4
2,205,23.081499,3
2,182,23.245985,3
3,188,23.766411,3
2,180,25.308641,3
2,170,20.761246,3
3,180,23.148148,3
2,174,21.138855,4
2,182,21.736506,3
2,178,23.355637,2
1,182,22.642193,4
2,184,25.697069,3
3,180,24.382715,4
2,185,24.251278,3
2,183,22.096807,4
2,187,25.165146,2
2,184,25.992439,2
2,182,22.642193,4
2,186,23.413111,4
2,187,22.877405,3
2,170,24.913494,2
