ref_date,emplBothSex,emplFemale,emplFullBothSex,emplFullFemale,emplFullMale,emplMale,emplPartBothSex,emplPartFemale,emplPartMale,emplRateBothSex,emplRateFemale,emplRateMale,labForceBothSex,labForceFemale,labForceMale,participRateBothSex,participRateFemale,participRateMale,populationBothSex,populationFemale,populationMale,unemplBothSex,unemplFemale,unemplMale,unemplRateBothSex,unemplRateFemale,unemplRateMale
1976-01,9636.7,3551.3,8431.0,2718.9,5712.1,6085.3,1205.6,832.4,373.2,57.2,41.7,73.0,10369.7,3865.4,6504.3,61.5,45.4,78.0,16852.4,8517.7,8334.7,733.0,314.0,419.0,7.1,8.1,6.4
1976-02,9659.8,3562.8,8467.5,2735.4,5732.0,6097.0,1192.3,827.4,364.9,57.2,41.7,73.0,10389.8,3876.6,6513.1,61.5,45.4,78.0,16892.0,8538.8,8353.3,730.0,313.8,416.2,7.0,8.1,6.4
1976-03,9704.2,3584.9,8509.4,2751.0,5758.5,6119.3,1194.8,833.9,360.8,57.3,41.9,73.1,10395.7,3880.4,6515.3,61.4,45.3,77.8,16930.7,8559.1,8371.6,691.5,295.5,396.0,6.7,7.6,6.1
1976-04,9738.2,3592.9,8540.1,2752.4,5787.6,6145.3,1198.1,840.4,357.6,57.4,41.9,73.2,10451.3,3904.0,6547.3,61.6,45.5,78.0,16969.4,8579.4,8390.0,713.1,311.1,402.0,6.8,8.0,6.1
1976-05,9726.1,3600.3,8529.6,2759.3,5770.4,6125.8,1196.4,841.0,355.4,57.2,41.9,72.9,10446.1,3918.0,6528.0,61.4,45.6,77.6,17008.1,8599.7,8408.4,720.0,317.8,402.2,6.9,8.1,6.2
1976-06,9748.3,3621.6,8519.2,2758.7,5760.5,6126.7,1229.1,862.9,366.2,57.2,42.0,72.7,10469.6,3929.4,6540.2,61.4,45.6,77.6,17046.8,8620.0,8426.8,721.3,307.8,413.5,6.9,7.8,6.3
1976-07,9759.5,3619.8,8544.4,2764.7,5779.7,6139.8,1215.1,855.1,360.1,57.1,41.9,72.7,10539.4,3957.7,6581.7,61.7,45.8,77.9,17085.5,8640.3,8445.2,779.9,338.0,441.9,7.4,8.5,6.7
1976-08,9780.5,3644.3,8561.9,2785.6,5776.4,6136.2,1218.6,858.8,359.8,57.1,42.1,72.5,10524.1,3976.3,6547.8,61.5,45.9,77.4,17124.4,8660.7,8463.7,743.6,332.0,411.6,7.1,8.3,6.3
1976-09,9795.2,3641.1,8582.6,2787.6,5795.0,6154.1,1212.6,853.6,359.1,57.1,42.0,72.6,10531.9,3979.3,6552.6,61.4,45.9,77.3,17154.4,8676.3,8478.1,736.7,338.2,398.5,7.0,8.5,6.1
1976-10,9782.5,3655.5,8537.7,2779.9,5757.8,6127.0,1244.8,875.7,369.2,56.9,42.1,72.1,10565.1,3988.2,6577.0,61.5,45.9,77.4,17183.4,8691.3,8492.1,782.6,332.6,450.0,7.4,8.3,6.8
1976-11,9829.0,3674.2,8560.8,2783.9,5776.8,6154.8,1268.2,890.3,377.9,57.1,42.2,72.4,10609.5,4013.6,6595.9,61.6,46.1,77.5,17211.4,8705.8,8505.7,780.5,339.4,441.1,7.4,8.5,6.7
1976-12,9862.6,3692.0,8606.3,2807.2,5799.1,6170.6,1256.3,884.8,371.5,57.2,42.3,72.4,10657.3,4035.4,6621.9,61.8,46.3,77.7,17238.1,8719.9,8518.2,794.8,343.4,451.4,7.5,8.5,6.8
1977-01,9869.3,3696.6,8615.1,2809.4,5805.7,6172.7,1254.2,887.1,367.0,57.1,42.3,72.3,10681.1,4049.9,6631.2,61.8,46.4,77.7,17270.6,8737.0,8533.7,811.8,353.3,458.5,7.6,8.7,6.9
1977-02,9874.2,3702.2,8611.3,2811.0,5800.3,6172.0,1262.9,891.2,371.7,57.1,42.3,72.2,10716.1,4067.2,6649.0,61.9,46.5,77.8,17302.4,8753.7,8548.8,842.0,365.0,477.0,7.9,9.0,7.2
1977-03,9865.7,3702.9,8589.5,2812.0,5777.5,6162.8,1276.2,890.9,385.3,56.9,42.2,72.0,10701.7,4061.1,6640.6,61.8,46.3,77.6,17329.1,8767.6,8561.5,836.0,358.2,477.8,7.8,8.8,7.2
