ref_date,gender,empl,emplFull,emplPart,emplRate,labForce,participRate,population,unempl,unemplRate
1976-01,Men+,6085.3,5712.1,373.2,73.0,6504.3,78.0,8334.7,419.0,6.4
1976-01,Total - Gender,9636.7,8431.0,1205.6,57.2,10369.7,61.5,16852.4,733.0,7.1
1976-01,Women+,3551.3,2718.9,832.4,41.7,3865.4,45.4,8517.7,314.0,8.1
1976-02,Men+,6097.0,5732.0,364.9,73.0,6513.1,78.0,8353.3,416.2,6.4
1976-02,Total - Gender,9659.8,8467.5,1192.3,57.2,10389.8,61.5,16892.0,730.0,7.0
1976-02,Women+,3562.8,2735.4,827.4,41.7,3876.6,45.4,8538.8,313.8,8.1
1976-03,Men+,6119.3,5758.5,360.8,73.1,6515.3,77.8,8371.6,396.0,6.1
1976-03,Total - Gender,9704.2,8509.4,1194.8,57.3,10395.7,61.4,16930.7,691.5,6.7
1976-03,Women+,3584.9,2751.0,833.9,41.9,3880.4,45.3,8559.1,295.5,7.6
1976-04,Men+,6145.3,5787.6,357.6,73.2,6547.3,78.0,8390.0,402.0,6.1
1976-04,Total - Gender,9738.2,8540.1,1198.1,57.4,10451.3,61.6,16969.4,713.1,6.8
1976-04,Women+,3592.9,2752.4,840.4,41.9,3904.0,45.5,8579.4,311.1,8.0
1976-05,Men+,6125.8,5770.4,355.4,72.9,6528.0,77.6,8408.4,402.2,6.2
1976-05,Total - Gender,9726.1,8529.6,1196.4,57.2,10446.1,61.4,17008.1,720.0,6.9
1976-05,Women+,3600.3,2759.3,841.0,41.9,3918.0,45.6,8599.7,317.8,8.1
1976-06,Men+,6126.7,5760.5,366.2,72.7,6540.2,77.6,8426.8,413.5,6.3
1976-06,Total - Gender,9748.3,8519.2,1229.1,57.2,10469.6,61.4,17046.8,721.3,6.9
1976-06,Women+,3621.6,2758.7,862.9,42.0,3929.4,45.6,8620.0,307.8,7.8
1976-07,Men+,6139.8,5779.7,360.1,72.7,6581.7,77.9,8445.2,441.9,6.7
1976-07,Total - Gender,9759.5,8544.4,1215.1,57.1,10539.4,61.7,17085.5,779.9,7.4
1976-07,Women+,3619.8,2764.7,855.1,41.9,3957.7,45.8,8640.3,338.0,8.5
1976-08,Men+,6136.2,5776.4,359.8,72.5,6547.8,77.4,8463.7,411.6,6.3
1976-08,Total - Gender,9780.5,8561.9,1218.6,57.1,10524.1,61.5,17124.4,743.6,7.1
1976-08,Women+,3644.3,2785.6,858.8,42.1,3976.3,45.9,8660.7,332.0,8.3
1976-09,Men+,6154.1,5795.0,359.1,72.6,6552.6,77.3,8478.1,398.5,6.1
1976-09,Total - Gender,9795.2,8582.6,1212.6,57.1,10531.9,61.4,17154.4,736.7,7.0
1976-09,Women+,3641.1,2787.6,853.6,42.0,3979.3,45.9,8676.3,338.2,8.5
1976-10,Men+,6127.0,5757.8,369.2,72.1,6577.0,77.4,8492.1,450.0,6.8
1976-10,Total - Gender,9782.5,8537.7,1244.8,56.9,10565.1,61.5,17183.4,782.6,7.4
1976-10,Women+,3655.5,2779.9,875.7,42.1,3988.2,45.9,8691.3,332.6,8.3
1976-11,Men+,6154.8,5776.8,377.9,72.4,6595.9,77.5,8505.7,441.1,6.7
1976-11,Total - Gender,9829.0,8560.8,1268.2,57.1,10609.5,61.6,17211.4,780.5,7.4
1976-11,Women+,3674.2,2783.9,890.3,42.2,4013.6,46.1,8705.8,339.4,8.5
1976-12,Men+,6170.6,5799.1,371.5,72.4,6621.9,77.7,8518.2,451.4,6.8
1976-12,Total - Gender,9862.6,8606.3,1256.3,57.2,10657.3,61.8,17238.1,794.8,7.5
1976-12,Women+,3692.0,2807.2,884.8,42.3,4035.4,46.3,8719.9,343.4,8.5
1977-01,Men+,6172.7,5805.7,367.0,72.3,6631.2,77.7,8533.7,458.5,6.9
1977-01,Total - Gender,9869.3,8615.1,1254.2,57.1,10681.1,61.8,17270.6,811.8,7.6
1977-01,Women+,3696.6,2809.4,887.1,42.3,4049.9,46.4,8737.0,353.3,8.7
1977-02,Men+,6172.0,5800.3,371.7,72.2,6649.0,77.8,8548.8,477.0,7.2
1977-02,Total - Gender,9874.2,8611.3,1262.9,57.1,10716.1,61.9,17302.4,842.0,7.9
1977-02,Women+,3702.2,2811.0,891.2,42.3,4067.2,46.5,8753.7,365.0,9.0
1977-03,Men+,6162.8,5777.5,385.3,72.0,6640.6,77.6,8561.5,477.8,7.2
1977-03,Total - Gender,9865.7,8589.5,1276.2,56.9,10701.7,61.8,17329.1,836.0,7.8
1977-03,Women+,3702.9,2812.0,890.9,42.2,4061.1,46.3,8767.6,358.2,8.8
