ref_date,emplFullMen+,emplFullTotal - Gender,emplFullWomen+,emplMen+,emplPartMen+,emplPartTotal - Gender,emplPartWomen+,emplRateMen+,emplRateTotal - Gender,emplRateWomen+,emplTotal - Gender,emplWomen+,labForceMen+,labForceTotal - Gender,labForceWomen+,participRateMen+,participRateTotal - Gender,participRateWomen+,populationMen+,populationTotal - Gender,populationWomen+,unemplMen+,unemplRateMen+,unemplRateTotal - Gender,unemplRateWomen+,unemplTotal - Gender,unemplWomen+
1976-01,5712.1,8431.0,2718.9,6085.3,373.2,1205.6,832.4,73.0,57.2,41.7,9636.7,3551.3,6504.3,10369.7,3865.4,78.0,61.5,45.4,8334.7,16852.4,8517.7,419.0,6.4,7.1,8.1,733.0,314.0
1976-02,5732.0,8467.5,2735.4,6097.0,364.9,1192.3,827.4,73.0,57.2,41.7,9659.8,3562.8,6513.1,10389.8,3876.6,78.0,61.5,45.4,8353.3,16892.0,8538.8,416.2,6.4,7.0,8.1,730.0,313.8
1976-03,5758.5,8509.4,2751.0,6119.3,360.8,1194.8,833.9,73.1,57.3,41.9,9704.2,3584.9,6515.3,10395.7,3880.4,77.8,61.4,45.3,8371.6,16930.7,8559.1,396.0,6.1,6.7,7.6,691.5,295.5
1976-04,5787.6,8540.1,2752.4,6145.3,357.6,1198.1,840.4,73.2,57.4,41.9,9738.2,3592.9,6547.3,10451.3,3904.0,78.0,61.6,45.5,8390.0,16969.4,8579.4,402.0,6.1,6.8,8.0,713.1,311.1
1976-05,5770.4,8529.6,2759.3,6125.8,355.4,1196.4,841.0,72.9,57.2,41.9,9726.1,3600.3,6528.0,10446.1,3918.0,77.6,61.4,45.6,8408.4,17008.1,8599.7,402.2,6.2,6.9,8.1,720.0,317.8
1976-06,5760.5,8519.2,2758.7,6126.7,366.2,1229.1,862.9,72.7,57.2,42.0,9748.3,3621.6,6540.2,10469.6,3929.4,77.6,61.4,45.6,8426.8,17046.8,8620.0,413.5,6.3,6.9,7.8,721.3,307.8
1976-07,5779.7,8544.4,2764.7,6139.8,360.1,1215.1,855.1,72.7,57.1,41.9,9759.5,3619.8,6581.7,10539.4,3957.7,77.9,61.7,45.8,8445.2,17085.5,8640.3,441.9,6.7,7.4,8.5,779.9,338.0
1976-08,5776.4,8561.9,2785.6,6136.2,359.8,1218.6,858.8,72.5,57.1,42.1,9780.5,3644.3,6547.8,10524.1,3976.3,77.4,61.5,45.9,8463.7,17124.4,8660.7,411.6,6.3,7.1,8.3,743.6,332.0
1976-09,5795.0,8582.6,2787.6,6154.1,359.1,1212.6,853.6,72.6,57.1,42.0,9795.2,3641.1,6552.6,10531.9,3979.3,77.3,61.4,45.9,8478.1,17154.4,8676.3,398.5,6.1,7.0,8.5,736.7,338.2
1976-10,5757.8,8537.7,2779.9,6127.0,369.2,1244.8,875.7,72.1,56.9,42.1,9782.5,3655.5,6577.0,10565.1,3988.2,77.4,61.5,45.9,8492.1,17183.4,8691.3,450.0,6.8,7.4,8.3,782.6,332.6
