ref_date,qCgov,qChh,qChhDurable,qChhGoods,qChhNondurable,qChhSemidurable,qChhService,qCnpish,qCtotal,qExpGS,qExpGoods,qExpServices,qFDD,qGDP,qImpGS,qImpGoods,qImpServices,qInvbus,qInvbusIPP,qInvbusME,qInvbusNRS,qInvbusNRSME,qInvbusRS,qInvgov,qInvint,qInvintBus,qInvintFarm,qInvintNonfarm,qInvnpish,qInvtotal,qdiscrepancy,vCgov,vChh,vChhDurable,vChhGoods,vChhNondurable,vChhSemidurable,vChhService,vCnpish,vCtotal,vExpGS,vExpGoods,vExpServices,vFDD,vGDP,vImpGS,vImpGoods,vImpServices,vInvbus,vInvbusIPP,vInvbusME,vInvbusNRS,vInvbusNRSME,vInvbusRS,vInvgov,vInvint,vInvintBus,vInvintFarm,vInvintNonfarm,vInvnpish,vInvtotal,vdiscrepancy
1961-01-01,89485.0,182300.0,7346.0,81917.0,81802.0,10174.0,104868.0,2796.0,273818.0,44862.0,35810.0,9621.0,330186.0,342687.0,36821.0,26522.0,12052.0,44499.0,1465.0,4970.0,23411.0,20676.0,25355.0,13287.0,742.0,742.0,-2266.0,2321.0,300.0,57964.0,-3376.0,6444.0,25196.0,2828.0,15260.0,9312.0,3120.0,9936.0,344.0,31984.0,7080.0,6068.0,1012.0,41080.0,40600.0,7296.0,5844.0,1452.0,6916.0,224.0,2132.0,2424.0,4556.0,2136.0,2128.0,136.0,168.0,-420.0,588.0,52.0,9096.0,-400.0
1961-04-01,89859.0,185701.0,7769.0,84173.0,84303.0,10087.0,105402.0,2924.0,278206.0,44367.0,35398.0,9544.0,336181.0,351364.0,36710.0,26470.0,11954.0,44649.0,1487.0,4793.0,23761.0,20494.0,26070.0,14649.0,1176.0,1098.0,-1708.0,2320.0,277.0,59451.0,-1727.0,6540.0,25684.0,2984.0,15664.0,9572.0,3108.0,10020.0,364.0,32588.0,7032.0,6016.0,1016.0,41740.0,41496.0,7316.0,5848.0,1468.0,6904.0,228.0,2032.0,2452.0,4484.0,2192.0,2200.0,244.0,236.0,-364.0,600.0,48.0,9152.0,-204.0
1961-07-01,93551.0,190235.0,8474.0,86512.0,85310.0,10253.0,107430.0,3020.0,285943.0,45757.0,36457.0,9922.0,345962.0,359914.0,37045.0,26451.0,12538.0,46122.0,1478.0,4956.0,24534.0,21176.0,27018.0,15157.0,-1808.0,-1870.0,-2348.0,-32.0,301.0,61456.0,1284.0,6856.0,26328.0,3212.0,16064.0,9684.0,3168.0,10264.0,376.0,33560.0,7432.0,6384.0,1048.0,43012.0,42604.0,7568.0,6004.0,1564.0,7112.0,228.0,2088.0,2532.0,4620.0,2264.0,2288.0,-424.0,-464.0,-420.0,-44.0,52.0,9452.0,152.0
1961-10-01,92959.0,190957.0,8275.0,86200.0,84588.0,10578.0,109077.0,3048.0,286460.0,46728.0,37198.0,10187.0,346540.0,364811.0,39724.0,28490.0,13221.0,45804.0,1461.0,4972.0,24805.0,21329.0,26070.0,15532.0,1884.0,1931.0,-1810.0,3245.0,322.0,61529.0,773.0,6872.0,26520.0,3160.0,16060.0,9648.0,3252.0,10460.0,384.0,33776.0,7696.0,6628.0,1068.0,43264.0,43404.0,8132.0,6476.0,1656.0,7064.0,224.0,2092.0,2552.0,4644.0,2196.0,2368.0,484.0,468.0,-392.0,860.0,56.0,9488.0,92.0
1962-01-01,93810.0,195357.0,9009.0,89920.0,87533.0,10831.0,108234.0,3144.0,292281.0,47173.0,37472.0,10417.0,353170.0,374518.0,39756.0,29094.0,12178.0,45590.0,1412.0,5225.0,23603.0,21253.0,25961.0,16686.0,2569.0,2654.0,808.0,1925.0,324.0,62447.0,1636.0,7004.0,27204.0,3404.0,16768.0,10016.0,3348.0,10436.0,396.0,34604.0,7812.0,6712.0,1100.0,44204.0,44624.0,8236.0,6696.0,1540.0,7064.0,220.0,2204.0,2444.0,4648.0,2196.0,2480.0,649.0,677.0,293.0,384.0,56.0,9600.0,195.0
1962-04-01,97340.0,196473.0,8992.0,90311.0,87422.0,11130.0,109083.0,3300.0,296000.0,47335.0,37198.0,11143.0,356287.0,377495.0,38699.0,27933.0,12555.0,45735.0,1434.0,5279.0,23252.0,21193.0,26342.0,16215.0,1135.0,1080.0,208.0,880.0,325.0,62124.0,2442.0,7284.0,27516.0,3408.0,16896.0,10040.0,3448.0,10620.0,416.0,35216.0,7908.0,6732.0,1176.0,44880.0,45132.0,8192.0,6568.0,1624.0,7092.0,224.0,2240.0,2416.0,4656.0,2212.0,2516.0,244.0,244.0,28.0,216.0,56.0,9664.0,292.0
1962-07-01,95907.0,195639.0,8727.0,89634.0,87526.0,11002.0,109188.0,3460.0,294279.0,46567.0,36663.0,10842.0,357144.0,382323.0,38305.0,28004.0,11779.0,47753.0,1478.0,5558.0,23794.0,21985.0,27911.0,16234.0,4017.0,4003.0,1442.0,2713.0,303.0,64134.0,299.0,7232.0,27540.0,3312.0,16844.0,10104.0,3428.0,10696.0,440.0,35212.0,7848.0,6692.0,1156.0,45240.0,46068.0,8156.0,6616.0,1540.0,7436.0,232.0,2376.0,2468.0,4844.0,2360.0,2540.0,1100.0,1092.0,332.0,760.0,52.0,10028.0,36.0
1962-10-01,97397.0,199205.0,9337.0,92000.0,89034.0,11130.0,109775.0,3588.0,299519.0,49065.0,38929.0,10919.0,361447.0,389825.0,37029.0,26951.0,11610.0,47240.0,1474.0,5556.0,23702.0,21935.0,27119.0,16224.0,2740.0,2738.0,1639.0,1348.0,302.0,63611.0,-124.0,7404.0,28240.0,3548.0,17380.0,10316.0,3516.0,10860.0,460.0,36104.0,8236.0,7056.0,1180.0,46108.0,47132.0,7884.0,6360.0,1524.0,7396.0,232.0,2396.0,2464.0,4860.0,2304.0,2556.0,687.0,679.0,295.0,384.0,52.0,10004.0,-15.0
1963-01-01,99286.0,200555.0,9374.0,92606.0,90104.0,11056.0,110565.0,3624.0,302368.0,49485.0,39203.0,11108.0,363529.0,392297.0,37212.0,27149.0,11550.0,46667.0,1439.0,5542.0,23662.0,21898.0,26225.0,16280.0,2886.0,2894.0,1525.0,1592.0,318.0,63120.0,-569.0,7572.0,28532.0,3564.0,17536.0,10472.0,3500.0,10996.0,464.0,36568.0,8316.0,7116.0,1200.0,46580.0,47584.0,7996.0,6488.0,1508.0,7392.0,228.0,2412.0,2496.0,4908.0,2256.0,2564.0,753.0,749.0,361.0,388.0,56.0,10012.0,-69.0
1963-04-01,99206.0,204195.0,9955.0,94594.0,90625.0,11362.0,111981.0,3720.0,306697.0,50597.0,40130.0,11297.0,369296.0,398002.0,38245.0,27862.0,11943.0,47999.0,1487.0,5643.0,24290.0,22385.0,27305.0,16344.0,2194.0,2241.0,2341.0,322.0,295.0,64475.0,1016.0,7656.0,29252.0,3772.0,17960.0,10580.0,3608.0,11292.0,488.0,37396.0,8544.0,7300.0,1244.0,47664.0,48556.0,8244.0,6680.0,1564.0,7624.0,236.0,2476.0,2564.0,5040.0,2348.0,2592.0,468.0,488.0,412.0,76.0,52.0,10268.0,124.0
