"v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14"
-76.302,-74.127,-71.586,-68.964,-66.356,-63.858,-61.746,-71.462,-69.31,-66.792,-64.186,-61.592,-59.104,-56.998
-69.202,-67.425,-33.405,-17,-6.4543,1.0061,6.1658,-64.661,-23.446,-6.0807,4.3603,11.956,18.549,26.806
-60.976,-49.798,-30.349,-12.901,-1.5388,7.1276,15.254,-42.307,-19.793,-2.2078,8.7419,16.859,23.921,32.742
-50.236,-39.294,-24.662,-8.9177,2.2056,10.791,18.722,-28.497,-13.606,1.1447,12.232,20.703,28.628,35.315
-40.515,-31.08,-18.956,-5.8975,4.9665,13.417,21.135,-18.626,-7.6534,3.8923,14.643,23.069,30.985,37.371
-32.216,-24.162,-13.932,-3.3615,7.2189,15.568,23.207,-11.098,-2.6149,6.9901,16.931,25.128,32.789,39.102
-25.276,-18.324,-9.6309,-0.4872,9.5215,17.648,25.005,-5.2276,1.7273,10.023,18.977,26.914,34.279,40.435
-19.646,-13.46,-5.8209,2.3835,11.692,19.56,26.564,-0.60625,5.4401,12.805,20.707,28.436,35.575,41.553
-15.521,-9.5017,-2.4692,5.0913,13.645,21.262,27.917,2.933,8.543,15.241,22.254,29.782,36.745,42.521
-13.199,-6.5879,0.39325,7.5462,15.33,22.738,29.11,5.189,11.019,17.324,23.86,31.076,37.786,43.374
-9.5204,-4.5583,2.6727,9.6846,16.704,23.983,30.219,7.6413,12.776,19.104,25.39,32.258,38.707,44.143
-7.2532,-2.0307,4.2909,11.445,18.118,25.188,31.224,9.7213,14.448,20.562,26.775,33.305,39.521,44.845
-4.6025,0.060507,6.0708,12.873,19.475,26.301,32.123,11.63,16.116,21.763,27.981,34.211,40.251,45.502
-2.6506,1.954,7.6953,14.119,20.702,27.297,32.927,13.251,17.575,22.943,29.006,34.996,40.926,46.114
-0.72487,3.6929,9.2283,15.22,21.79,28.179,33.657,14.717,18.908,24.097,29.899,35.705,41.567,46.695
0.59613,5.1299,10.578,16.418,22.746,28.969,34.329,15.867,20.063,25.146,30.696,36.416,42.168,47.239
2.2942,6.3567,11.793,17.484,23.636,29.695,34.949,17.133,21.091,26.116,31.437,37.09,42.735,47.748
3.9022,7.762,12.849,18.519,24.44,30.355,35.532,18.361,22.057,26.965,32.195,37.723,43.27,48.231
5.0396,8.9616,13.824,19.434,25.173,30.958,36.097,19.329,23.03,27.726,32.896,38.329,43.778,48.685
6.2768,10.054,14.856,20.274,25.884,31.543,36.644,20.296,23.923,28.451,33.567,38.898,44.269,49.112
7.4719,11.149,15.822,21.007,26.571,32.13,37.168,21.19,24.736,29.197,34.18,39.436,44.744,49.517
8.4563,12.025,16.665,21.744,27.225,32.701,37.665,21.99,25.473,29.879,34.758,39.939,45.191,49.906
9.4473,12.865,17.488,22.497,27.835,33.25,38.135,22.819,26.145,30.516,35.3,40.408,45.609,50.277
10.447,13.809,18.235,23.174,28.421,33.771,38.579,23.611,26.858,31.127,35.818,40.851,46.004,50.633
11.404,14.716,18.942,23.811,28.982,34.265,38.999,24.325,27.547,31.676,36.34,41.295,46.393,50.973
12.144,15.442,19.649,24.437,29.502,34.731,39.397,24.943,28.159,32.218,36.825,41.714,46.761,51.302
12.849,16.134,20.337,24.998,29.999,35.169,39.779,25.539,28.721,32.755,37.284,42.132,47.12,51.617
13.647,16.833,20.978,25.539,30.509,35.58,40.149,26.195,29.282,33.276,37.73,42.522,47.459,51.922
